id,enterprise_id,enterprise_name,chain_stage,main_products,revenue_2023,domestic_market_share,core_customers,r_and_d_ratio,key_technologies,headquarters,sensitivity_level,data_source,created_at
1,ENT_001,华夏锂业,上游-原材料,锂矿开采与锂盐加工,85.6,12.3,东海电池科技、北方动力,6.8,高纯度锂提取技术、低品位锂矿开发,宜昌,高,行业报告,"2025-11-25 08:00:16"
2,ENT_002,东海电池科技,中游-电芯制造,动力锂电池电芯,156.8,18.5,北极星汽车、神州电动车,8.5,高能量密度电芯、快充技术,宁波,中,企业财报,"2025-11-25 08:00:16"
3,ENT_003,恒正电池材料,上游-原材料,正极材料,42.3,8.7,东海电池科技、华夏锂业,7.2,高镍三元材料、磷酸铁锂优化,上海,中,行业报告,"2025-11-25 08:00:16"
4,ENT_004,北极星汽车,下游-整车,新能源乘用车,625.4,15.2,终端消费者,5.6,电池管理系统、续航优化技术,深圳,高,行业报告,"2025-11-25 08:00:16"
5,ENT_005,绿能环保回收,回收,动力电池回收与梯次利用,18.6,6.8,东海电池科技、恒正电池材料,9.5,电池拆解技术、材料回收工艺,合肥,低,企业财报,"2025-11-25 08:00:16"
6,ENT_006,远航电池材料,上游-原材料,负极材料,32.8,7.2,东海电池科技、华夏锂业,5.9,硅碳负极材料、石墨烯应用,天津,中,行业报告,"2025-11-25 08:00:16"
7,ENT_007,智能电池系统,中游-电池PACK,电池包设计与制造,78.5,10.6,北极星汽车、神州电动车,7.8,热管理技术、轻量化设计,苏州,中,企业财报,"2025-11-25 08:00:16"
8,ENT_008,神州电动车,下游-整车,新能源商用车,486.3,12.8,物流企业、公交公司,6.2,电池集成技术、快充系统,北京,高,行业报告,"2025-11-25 08:00:16"
9,ENT_009,循环科技,回收,动力电池回收与梯次利用,15.2,5.3,智能电池系统、华夏锂业,8.7,电池健康评估、材料再生技术,成都,低,行业报告,"2025-11-25 08:00:16"
10,ENT_010,北方动力,中游-电芯制造,动力锂电池电芯,124.7,15.3,神州电动车、远航电池材料,7.5,长寿命电池技术、低温性能优化,长春,中,企业财报,"2025-11-25 08:00:16"
11,ENT_011,新能源矿产,上游-原材料,镍钴锰矿开采与加工,68.9,10.5,恒正电池材料、华夏锂业,5.8,低品位矿提炼、湿法冶金技术,昆明,高,行业报告,"2025-11-25 08:00:16"
12,ENT_012,智控电池科技,中游-电池PACK,电池管理系统(BMS),45.6,8.9,北极星汽车、北方动力,12.3,电池状态监测、热失控预警,杭州,中,企业财报,"2025-11-25 08:00:16"
13,ENT_013,绿源汽车,下游-整车,新能源SUV,325.8,9.7,终端消费者,4.8,电池安全设计、续航优化,广州,高,行业报告,"2025-11-25 08:00:16"
14,ENT_014,绿环科技,回收,动力电池回收与梯次利用,12.4,4.2,智控电池科技、北方动力,8.3,电池拆解自动化、材料分离技术,武汉,低,行业报告,"2025-11-25 08:00:16"
15,ENT_015,动力未来,中游-电芯制造,动力锂电池电芯,98.7,12.1,绿源汽车、智能电池系统,7.9,高安全性电芯、长寿命技术,南京,中,企业财报,"2025-11-25 08:00:16"
16,ENT_016,锂源科技,上游-原材料,锂盐加工与提纯,56.3,9.8,动力未来、恒正电池材料,6.2,锂盐纯化工艺、废水处理技术,青岛,中,行业报告,"2025-11-25 08:00:16"
17,ENT_017,轻量化设计,中游-电池PACK,电池包结构件,28.6,6.3,智能电池系统、北方动力,5.7,轻量化材料、结构优化设计,重庆,低,企业财报,"2025-11-25 08:00:16"
18,ENT_018,未来出行,下游-整车,新能源智能汽车,425.7,11.2,终端消费者,6.8,自动驾驶技术、电池集成系统,西安,高,行业报告,"2025-11-25 08:00:16"
19,ENT_019,再生资源,回收,动力电池回收与梯次利用,9.8,3.5,动力未来、锂源科技,7.6,电芯拆解技术、材料再生,郑州,低,行业报告,"2025-11-25 08:00:16"
20,ENT_020,隔膜科技,上游-原材料,锂电池隔膜,38.5,7.9,动力未来、北方动力,6.5,高孔隙率隔膜、耐高温材料,无锡,中,企业财报,"2025-11-25 08:00:16"
21,ENT_001,华夏锂业,上游-原材料,锂化合物、氢氧化锂,85.6,12.3,中能电池、恒泰动力,5.2,高纯度锂提取技术、低能耗生产工艺,宜春,中,行业调研报告,"2025-11-25 08:00:16"
22,ENT_002,东海材料,上游-原材料,三元正极材料、磷酸铁锂材料,62.4,8.7,华科能源、远航电池,6.8,高镍三元材料、磷酸铁锂改性技术,宁波,高,企业财报分析,"2025-11-25 08:00:16"
23,ENT_003,北方矿业,上游-原材料,镍钴矿开采、冶炼,78.3,15.2,中能电池、绿能电池,4.5,湿法冶炼技术、资源回收利用,金昌,高,行业访谈,"2025-11-25 08:00:16"
24,ENT_004,南方稀土,上游-原材料,稀土永磁材料、催化剂,45.7,6.8,恒泰动力、智控能源,7.3,高性能稀土永磁、低稀土用量技术,赣州,中,公开数据整理,"2025-11-25 08:00:16"
25,ENT_005,西部石墨,上游-原材料,石墨负极材料、硅碳复合负极,52.8,9.4,华科能源、新源科技,8.1,高容量负极材料、长循环寿命技术,成都,中,行业研究报告,"2025-11-25 08:00:16"
26,ENT_006,中能电池,中游-电芯制造,动力锂离子电芯、储能电芯,356.2,23.5,北极星汽车、绿舟汽车,6.7,高能量密度电芯、快充技术,深圳,高,企业内部数据,"2025-11-25 08:00:16"
27,ENT_007,华科能源,中游-电芯制造,高性能动力电芯、固态电池研发,178.5,12.8,绿舟汽车、远航汽车,12.3,固态电池技术、高安全电芯设计,上海,高,技术专利分析,"2025-11-25 08:00:16"
28,ENT_008,恒泰动力,中游-电芯制造,电动汽车电芯、低温电池,145.7,9.6,长城新能源、飞跃汽车,5.8,低温电池技术、长寿命电池系统,合肥,中,行业访谈,"2025-11-25 08:00:16"
29,ENT_009,新源科技,中游-电芯制造,快充电芯、高功率电池,89.3,5.2,北极星汽车、远航汽车,9.7,超快充技术、高功率输出设计,南京,中,市场调研,"2025-11-25 08:00:16"
30,ENT_010,绿能电池,中游-电芯制造,安全性电芯、磷酸铁锂电池,76.4,4.3,绿舟汽车、安泰动力,7.9,热失控防护技术、长寿命磷酸铁锂,武汉,低,公开数据整理,"2025-11-25 08:00:16"
31,ENT_011,联合电池系统,中游-电池PACK,电池模组、电池包集成,123.5,11.2,长城新能源、飞跃汽车,4.3,模组标准化设计、轻量化技术,重庆,中,行业研究报告,"2025-11-25 08:00:16"
32,ENT_012,智控能源,中游-电池PACK,电池管理系统、智能电池包,98.7,8.9,远航汽车、绿能电池,11.2,AI电池管理系统、云端监控技术,杭州,高,技术专利分析,"2025-11-25 08:00:16"
33,ENT_013,安泰动力,中游-电池PACK,电池包集成服务、定制化电池系统,67.8,5.6,远航汽车、飞跃汽车,6.5,定制化电池设计、空间优化技术,西安,低,市场调研,"2025-11-25 08:00:16"
34,ENT_014,远航电池,中游-电池PACK,高能量密度电池包、快充电池系统,156.3,13.7,北极星汽车、绿舟汽车,8.4,高集成度电池设计、热管理技术,天津,中,行业访谈,"2025-11-25 08:00:16"
35,ENT_015,恒信科技,中游-电池PACK,电池热管理系统、液冷技术,82.4,6.8,华科能源、新源科技,10.3,高效液冷技术、温度均匀性控制,苏州,中,技术专利分析,"2025-11-25 08:00:16"
36,ENT_016,北极星汽车,下游-整车,新能源整车、高端电动车,1256.8,18.3,终端消费者、企业客户,5.7,整车电池一体化设计、智能续航系统,北京,高,企业内部数据,"2025-11-25 08:00:16"
37,ENT_017,绿舟汽车,下游-整车,中高端电动车、SUV车型,876.5,12.7,终端消费者、租赁公司,4.9,电池续航优化、智能充电系统,上海,高,行业研究报告,"2025-11-25 08:00:16"
38,ENT_018,长城新能源,下游-整车,经济型电动车、商用车电动化,654.3,9.5,终端消费者、企业客户,4.2,低成本电池方案、商用车专用电池系统,保定,中,市场调研,"2025-11-25 08:00:16"
39,ENT_019,远航汽车,下游-整车,高性能电动车、跑车车型,432.7,6.3,高端消费者、汽车爱好者,6.8,高性能电池系统、轻量化车身设计,广州,中,公开数据整理,"2025-11-25 08:00:16"
40,ENT_020,飞跃汽车,下游-整车,商用车电动化、专用车电动化,387.6,5.6,物流公司、公交集团,3.8,商用车电池系统、快充换电技术,济南,低,行业访谈,"2025-11-25 08:00:16"
41,ENT_001,华夏锂业,上游-原材料,锂矿开采与加工,85.6,12.3,"东海电池科技, 北极星汽车",6.8,"高纯度锂盐提取技术, 低品位锂矿开发技术",江西宜春,中,行业报告,"2025-11-25 08:00:16"
42,ENT_002,北方钴业,上游-原材料,钴矿开采与加工,42.3,8.7,"华夏电池, 远航汽车",5.2,"高纯度钴盐制备技术, 低成本湿法冶金技术",甘肃金昌,高,企业财报,"2025-11-25 08:00:16"
43,ENT_003,东海电池科技,中游-电芯制造,动力锂离子电芯,156.8,18.5,"北极星汽车, 飞驰汽车",8.3,"高能量密度电芯技术, 长寿命电池技术",江苏苏州,高,市场调研,"2025-11-25 08:00:16"
44,ENT_004,南方石墨材料,上游-原材料,石墨负极材料,67.4,15.2,"东海电池科技, 华夏电池",7.5,"高容量石墨负极技术, 硅碳复合负极技术",黑龙江鹤岗,中,行业报告,"2025-11-25 08:00:16"
45,ENT_005,中航电池系统,中游-电池PACK,动力电池模组与BMS,98.6,11.8,"远航汽车, 飞驰汽车",9.2,"电池热管理技术, 电池安全技术",上海,高,企业财报,"2025-11-25 08:00:16"
46,ENT_006,北极星汽车,下游-整车,纯电动汽车,456.2,8.6,终端消费者,6.5,"800V高压平台技术, 电池快充技术",北京,高,市场调研,"2025-11-25 08:00:16"
47,ENT_007,远航汽车,下游-整车,插电式混合动力汽车,324.5,6.2,终端消费者,5.8,"混合动力系统, 能量回收技术",广州,中,行业报告,"2025-11-25 08:00:16"
48,ENT_008,绿环再生科技,回收,动力电池回收与材料再生,18.6,4.3,"东海电池科技, 华夏电池",12.5,"电池无损拆解技术, 材料高效回收技术",安徽合肥,中,市场调研,"2025-11-25 08:00:16"
49,ENT_009,华夏电池,中游-电芯制造,固态电池电芯,126.3,14.7,"飞驰汽车, 北极星汽车",10.8,"固态电解质技术, 高安全电池技术",江苏南京,高,企业财报,"2025-11-25 08:00:16"
50,ENT_010,飞驰汽车,下游-整车,高端纯电动汽车,287.4,5.4,终端消费者,7.2,"电池热泵技术, 电池寿命预测技术",深圳,高,市场调研,"2025-11-25 08:00:16"
51,ENT_011,天成电解液,上游-原材料,锂电池电解液,54.8,9.6,"东海电池科技, 中航电池系统",6.3,"高安全性电解液技术, 宽温域电解液技术",浙江宁波,中,行业报告,"2025-11-25 08:00:16"
52,ENT_012,智能电池集成,中游-电池PACK,电池管理系统与集成,76.2,9.1,"远航汽车, 飞驰汽车",8.7,"电池均衡技术, 电池状态估计技术",广东东莞,中,企业财报,"2025-11-25 08:00:16"
53,ENT_013,长城新能源汽车,下游-整车,经济型纯电动汽车,198.5,3.8,终端消费者,5.5,"低成本电池技术, 电池标准化技术",河北保定,中,市场调研,"2025-11-25 08:00:16"
54,ENT_014,环保动力回收,回收,电池梯次利用与回收,12.4,2.8,"分布式储能项目, 低速电动车企",11.2,"电池健康评估技术, 梯次利用系统集成",四川成都,低,行业报告,"2025-11-25 08:00:16"
55,ENT_015,华夏正极材料,上游-原材料,三元正极材料,73.6,13.4,"华夏电池, 东海电池科技",7.8,"高镍三元材料, 无钴正极材料",湖南长沙,高,企业财报,"2025-11-25 08:00:16"
56,ENT_016,新能源动力系统,中游-电芯制造,磷酸铁锂电芯,89.7,10.2,"长城新能源汽车, 远航汽车",6.9,"长寿命磷酸铁锂技术, 高功率铁锂技术",安徽合肥,中,市场调研,"2025-11-25 08:00:16"
57,ENT_017,智能能源科技,中游-电池PACK,电池热管理系统,45.3,5.4,"华夏电池, 中航电池系统",9.5,"相变材料热管理, 液冷热管理技术",江苏苏州,中,行业报告,"2025-11-25 08:00:16"
58,ENT_018,绿源汽车,下游-整车,商用纯电动客车,156.8,7.6,"公交公司, 物流企业",4.8,"大容量电池技术, 快充技术",河南郑州,中,企业财报,"2025-11-25 08:00:16"
59,ENT_019,金源矿业,上游-原材料,镍矿开采与加工,38.5,7.2,"华夏正极材料, 天成电解液",4.6,"红土镍矿处理技术, 高纯度镍盐制备",云南昆明,低,市场调研,"2025-11-25 08:00:16"
60,ENT_020,循环经济科技,回收,电池材料全生命周期管理,23.7,5.5,"华夏电池, 绿环再生科技",13.2,"电池材料循环利用技术, 电池碳足迹追踪",湖北武汉,高,行业报告,"2025-11-25 08:00:16"
